ProteinAccession,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
TCCM_0939.00000010,62600000,84600000,134000000,88200000,116000000,146000000,81000000,33100000,35900000,44500000,163000000,203000000,103000000,103000000,120000000,64900000,44000000,72200000,71100000,107000000,70500000,151000000,165000000,157000000,151000000,142000000,124000000,200000000,195000000,62100000,72000000,134000000,112000000,131000000,57300000,32300000,21100000
TCCM_0662.00000020,347000000,474000000,461000000,581000000,336000000,448000000,239000000,161000000,164000000,191000000,478000000,463000000,493000000,422000000,537000000,167000000,245000000,296000000,250000000,349000000,395000000,317000000,337000000,380000000,310000000,319000000,250000000,236000000,480000000,386000000,457000000,375000000,560000000,303000000,67400000,193000000,29700000
TCCM_0662.00000030,256000000,184000000,219000000,235000000,417000000,454000000,329000000,142000000,192000000,154000000,411000000,588000000,415000000,421000000,367000000,220000000,171000000,303000000,216000000,430000000,436000000,272000000,262000000,364000000,319000000,252000000,225000000,357000000,536000000,235000000,223000000,220000000,266000000,416000000,155000000,247000000,50400000
TCCM_0011.00000280,71100000,110000000,135000000,176000000,142000000,135000000,105000000,52200000,60900000,61900000,248000000,137000000,108000000,111000000,105000000,83100000,65200000,115000000,76800000,110000000,109000000,125000000,134000000,105000000,176000000,143000000,121000000,171000000,210000000,115000000,71400000,118000000,98100000,98800000,70600000,48100000,12900000
TCCM_0237.00000020,44600000,54000000,72600000,88800000,115000000,119000000,70000000,23800000,40900000,33000000,91600000,107000000,87300000,83700000,68000000,48800000,31600000,69100000,47800000,73500000,52600000,83200000,109000000,80600000,96200000,88700000,85400000,103000000,97000000,74700000,48600000,75500000,61500000,68000000,42400000,67700000,8776100
TCCM_0495.00000020,54400000,82600000,90200000,114000000,143000000,147000000,109000000,35900000,55700000,39300000,59200000,73300000,100000000,121000000,69900000,55700000,34600000,62800000,48700000,107000000,52000000,65600000,116000000,55700000,77500000,93900000,96100000,50200000,81800000,91500000,86700000,59100000,39400000,70400000,47200000,49700000,2262200
TCCM_0797.00000220,115000000,102000000,57800000,89800000,159000000,199000000,121000000,63900000,80200000,92100000,269000000,233000000,177000000,208000000,70000000,132000000,88200000,158000000,109000000,205000000,194000000,90800000,112000000,220000000,251000000,115000000,82100000,254000000,230000000,87600000,90000000,99200000,161000000,194000000,18900000,33400000,3473300
TCCM_0240.00000030,45700000,63500000,65000000,118000000,158000000,186000000,119000000,33200000,44300000,50200000,245000000,194000000,135000000,138000000,123000000,51600000,41300000,89400000,63600000,146000000,143000000,121000000,124000000,106000000,233000000,114000000,103000000,150000000,186000000,93600000,101000000,110000000,160000000,203000000,36500000,41300000,11800000
TCCM_0097.00000010,38600000,57100000,93100000,115000000,86500000,92700000,58900000,38200000,51100000,44100000,76400000,103000000,71200000,65000000,57000000,52300000,53700000,78900000,61400000,38700000,35500000,75700000,98800000,105000000,76200000,80100000,91200000,66600000,54000000,55500000,119000000,99900000,91700000,65100000,26600000,46700000,4746300
TCCM_0797.00000210,188000000,188000000,200000000,197000000,217000000,183000000,122000000,66700000,81000000,76300000,142000000,192000000,164000000,154000000,249000000,112000000,89700000,174000000,200000000,161000000,135000000,182000000,270000000,170000000,163000000,210000000,236000000,204000000,175000000,209000000,159000000,234000000,155000000,90300000,80700000,146000000,23900000
